2269,26.7,7928f95e040c,Pixel 5
2270,26.7,7928f95e040c,Pixel 5
2334,16.0,4fe1ea564051,Pixel 1
2445,41.0,36ffbc1ee1bc,iPhone 8
2446,36.4,36ffbc1ee1bc,iPhone 8
2447,34.1,36ffbc1ee1bc,iPhone 8
2571,31.4,7068da7b6496,Moto G6
2573,20.7,7068da7b6496,Moto G6
2575,20.4,7068da7b6496,Moto G6
2730,22.0,7928f95e040c,Pixel 5
2731,27.4,7928f95e040c,Pixel 5
2732,26.8,7928f95e040c,Pixel 5
2883,41.1,36ffbc1ee1bc,iPhone 8
2884,36.3,36ffbc1ee1bc,iPhone 8
2884,33.8,36ffbc1ee1bc,iPhone 8
2885,31.8,36ffbc1ee1bc,iPhone 8
3034,23.4,7bd2a4f188e2,Pixel 2
3035,25.5,7068da7b6496,Moto G6
3180,18.7,7928f95e040c,Pixel 5
3181,22.8,7928f95e040c,Pixel 5
3182,27.5,7928f95e040c,Pixel 5
3258,18.5,4fe1ea564051,Pixel 1
3259,19.4,4fe1ea564051,Pixel 1
3319,40.2,36ffbc1ee1bc,iPhone 8
3495,27.0,7068da7b6496,Moto G6
3632,22.9,7928f95e040c,Pixel 5
3633,21.8,7928f95e040c,Pixel 5
3634,26.3,7928f95e040c,Pixel 5
3716,8.7,4fe1ea564051,Pixel 1
3755,40.2,36ffbc1ee1bc,iPhone 8
3756,37.2,36ffbc1ee1bc,iPhone 8
3757,31.0,36ffbc1ee1bc,iPhone 8
3952,23.3,7bd2a4f188e2,Pixel 2
3961,27.4,7068da7b6496,Moto G6
3963,20.9,7068da7b6496,Moto G6
3965,22.2,7068da7b6496,Moto G6
4084,25.1,7928f95e040c,Pixel 5
4085,23.2,7928f95e040c,Pixel 5
4086,23.9,7928f95e040c,Pixel 5
4174,36.3,4fe1ea564051,Pixel 1
4187,36.8,36ffbc1ee1bc,iPhone 8
4188,34.5,36ffbc1ee1bc,iPhone 8
4188,37.9,36ffbc1ee1bc,iPhone 8
4412,25.1,7bd2a4f188e2,Pixel 2
4423,30.3,7068da7b6496,Moto G6
4425,22.9,7068da7b6496,Moto G6
4548,31.1,7928f95e040c,Pixel 5
4549,25.3,7928f95e040c,Pixel 5
4550,30.5,7928f95e040c,Pixel 5
4623,37.0,36ffbc1ee1bc,iPhone 8
4624,36.8,36ffbc1ee1bc,iPhone 8
